n    array                                                                  | BruteForce  MergeSort  Insertion  Hashing  BoyerMoore  QuickSort  DivideConq  Bitwise
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
4    []                                                                     |          0          0          0          0          1          0          0          0
4    [0]                                                                    |          1          0          2          2          4          1          1          4
4    [0, 1, 2, 3]                                                           |         16          8          5          8         13         10          9         15
4    [5, 5, 5, 4]                                                           |          4          8          5          6         13         10         12         20
4    [5, 5, 5, 5]                                                           |          4          8          5          6         13         10          7         20
4    [0, 1, 2, 3]                                                           |         16          8          5          8         13         10          9         15
4    [3, 2, 1, 0]                                                           |         16          8          5          8         13         10          9         15
4    [0, 1, 3, 2]                                                           |         16          8          5          8         13          8          9         15
4    [6, 1, 6, 3]                                                           |         16          8          5          8         13          8          9         20
4    [6, 6, 6, 5]                                                           |          4          8          5          6         13         10         12         20
4    [6, 6, 6, 8]                                                           |          4          8          5          6         13         10         12         25
4    [23, 30, 18, 28]                                                       |         16          8          5          8         13          8          9         30
4    [5, 48, 5, 5]                                                          |          4          8          5          8         13          8         12         35
4    [5, 5, 5, 120]                                                         |          4          8          5          6         13         10         12         40
4    [160, 5, 5, 5]                                                         |          8          8          5          8         13          8         12         45
4    [2, 200, 201, 202]                                                     |         16          8          5          8         13         10          9         45
4    [5, 5, 5, 5]                                                           |          4          8          5          6         13         10          7         20
4    [0, 1, 2, 3]                                                           |         16          8          5          8         13         10          9         15
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
8    []                                                                     |          0          0          0          0          1          0          0          0
8    [0]                                                                    |          1          0          2          2          4          1          1          4
8    [0, 1, 2, 3, 4, 5, 6, 7]                                               |         64         24          9         16         25         36         19         36
8    [9, 9, 9, 9, 8, 9, 10, 9]                                              |          8         24          9         12         25         30         25         45
8    [9, 9, 9, 9, 9, 9, 9, 9]                                               |          8         24          9         10         25         36         15         45
8    [0, 1, 2, 3, 4, 5, 6, 7]                                               |         64         24          9         16         25         36         19         36
8    [7, 6, 5, 4, 3, 2, 1, 0]                                               |         64         24          9         16         25         36         19         36
8    [0, 1, 2, 3, 4, 6, 5, 7]                                               |         64         24          9         16         25         31         19         36
8    [10, 1, 10, 3, 10, 5, 10, 7]                                           |         64         24          9         16         25         24         19         45
8    [10, 10, 10, 10, 10, 11, 12, 13]                                       |          8         24          9         10         25         36         25         45
8    [10, 10, 10, 10, 10, 16, 10, 10]                                       |          8         24          9         10         25         30         20         54
8    [27, 75, 59, 24, 29, 70, 49, 69]                                       |         64         24          9         16         25         23         19         72
8    [158, 9, 9, 9, 9, 143, 9, 80]                                          |         16         24          9         14         25         26         30         81
8    [9, 9, 9, 9, 9, 240, 241, 242]                                         |          8         24          9         10         25         36         25         81
8    [320, 321, 322, 9, 9, 9, 9, 9]                                         |         32         24          9         16         25         23         25         90
8    [4, 405, 402, 400, 403, 404, 406, 401]                                 |         64         24          9         16         25         24         19         90
8    [9, 9, 9, 9, 9, 9, 9, 9]                                               |          8         24          9         10         25         36         15         45
8    [0, 1, 2, 3, 4, 5, 6, 7]                                               |         64         24          9         16         25         36         19         36
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
16   []                                                                     |          0          0          0          0          1          0          0          0
16   [0]                                                                    |          1          0          2          2          4          1          1          4
16   [0, 1, 2, 3] ... [12, 13, 14, 15]                                      |        256         64         17         32         49        136         39         85
16   [17, 17, 17, 19] ... [17, 17, 21, 17]                                  |         16         64         17         28         49         83         65        102
16   [17, 17, 17, 17] ... [17, 17, 17, 17]                                  |         16         64         17         18         49        136         31        102
16   [0, 1, 2, 3] ... [12, 13, 14, 15]                                      |        256         64         17         32         49        136         39         85
16   [15, 14, 13, 12] ... [3, 2, 1, 0]                                      |        256         64         17         32         49        136         39         85
16   [0, 1, 14, 3] ... [12, 13, 2, 15]                                      |        256         64         17         32         49        112         39         85
16   [18, 1, 18, 3] ... [18, 13, 18, 15]                                    |        256         64         17         32         49         80         39        102
16   [18, 18, 18, 18] ... [26, 27, 28, 29]                                  |         16         64         17         18         49        136         51        102
16   [18, 18, 18, 18] ... [18, 18, 18, 18]                                  |         16         64         17         22         49        110         41        119
16   [134, 144, 64, 67] ... [138, 115, 83, 114]                             |        256         64         17         32         49         60         39        153
16   [17, 17, 17, 17] ... [310, 230, 215, 275]                              |         16         64         17         24         49         83         58        170
16   [17, 17, 17, 17] ... [483, 484, 485, 486]                              |         16         64         17         18         49        136         51        170
16   [640, 641, 642, 643] ... [17, 17, 17, 17]                              |        128         64         17         32         49         71         51        187
16   [8, 806, 813, 808] ... [814, 801, 804, 811]                            |        256         64         17         32         49         62         39        187
16   [17, 17, 17, 17] ... [17, 17, 17, 17]                                  |         16         64         17         18         49        136         31        102
16   [0, 1, 2, 3] ... [12, 13, 14, 15]                                      |        256         64         17         32         49        136         39         85
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
32   []                                                                     |          0          0          0          0          1          0          0          0
32   [0]                                                                    |          1          0          2          2          4          1          1          4
32   [0, 1, 2, 3] ... [28, 29, 30, 31]                                      |       1024        160         33         64         97        528         79        198
32   [33, 40, 33, 33] ... [35, 33, 41, 33]                                  |         32        160         33         60         97        249        133        231
32   [33, 33, 33, 33] ... [33, 33, 33, 33]                                  |         32        160         33         34         97        528         63        231
32   [0, 1, 2, 3] ... [28, 29, 30, 31]                                      |       1024        160         33         64         97        528         79        198
32   [31, 30, 29, 28] ... [3, 2, 1, 0]                                      |       1024        160         33         64         97        528         79        198
32   [0, 27, 2, 3] ... [28, 29, 30, 31]                                     |       1024        160         33         64         97        502         79        198
32   [34, 1, 34, 3] ... [34, 29, 34, 31]                                    |       1024        160         33         64         97        288         79        231
32   [34, 34, 34, 34] ... [58, 59, 60, 61]                                  |         32        160         33         34         97        528        103        231
32   [34, 65, 34, 34] ... [34, 34, 34, 34]                                  |         32        160         33         40         97        418         83        264
32   [126, 248, 209, 266] ... [167, 130, 157, 219]                          |       1024        160         33         64         97        155         79        330
32   [33, 33, 33, 467] ... [503, 418, 33, 33]                               |         32        160         33         64         97        233        139        363
32   [33, 33, 33, 33] ... [971, 972, 973, 974]                              |         32        160         33         34         97        528        103        363
32   [1280, 1281, 1282, 1283] ... [33, 33, 33, 33]                          |        512        160         33         64         97        239        103        396
32   [16, 1607, 1615, 1605] ... [1630, 1628, 1626, 1625]                    |       1024        160         33         64         97        153         79        396
32   [33, 33, 33, 33] ... [33, 33, 33, 33]                                  |         32        160         33         34         97        528         63        231
32   [0, 1, 2, 3] ... [28, 29, 30, 31]                                      |       1024        160         33         64         97        528         79        198
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
64   []                                                                     |          0          0          0          0          1          0          0          0
64   [0]                                                                    |          1          0          2          2          4          1          1          4
64   [0, 1, 2, 3] ... [60, 61, 62, 63]                                      |       4096        384         65        128        193       2080        159        455
64   [74, 65, 65, 65] ... [90, 85, 65, 65]                                  |        128        384         65        126        193        798        339        520
64   [65, 65, 65, 65] ... [65, 65, 65, 65]                                  |         64        384         65         66        193       2080        127        520
64   [0, 1, 2, 3] ... [60, 61, 62, 63]                                      |       4096        384         65        128        193       2080        159        455
64   [63, 62, 61, 60] ... [3, 2, 1, 0]                                      |       4096        384         65        128        193       2080        159        455
64   [0, 1, 2, 3] ... [60, 14, 62, 63]                                      |       4096        384         65        128        193       1359        159        455
64   [66, 1, 66, 3] ... [66, 61, 66, 63]                                    |       4096        384         65        128        193       1088        159        520
64   [66, 66, 66, 66] ... [122, 123, 124, 125]                              |         64        384         65         66        193       2080        207        520
64   [66, 66, 66, 66] ... [66, 66, 66, 66]                                  |         64        384         65         74        193       1679        162        585
64   [252, 446, 395, 323] ... [601, 235, 456, 636]                          |       4096        384         65        128        193        459        159        715
64   [870, 1157, 65, 655] ... [1227, 718, 1254, 65]                         |        192        384         65        128        193        742        289        780
64   [65, 65, 65, 65] ... [1947, 1948, 1949, 1950]                          |         64        384         65         66        193       2080        207        780
64   [2560, 2561, 2562, 2563] ... [65, 65, 65, 65]                          |       2048        384         65        128        193        863        207        845
64   [32, 3211, 3205, 3217] ... [3231, 3261, 3249, 3250]                    |       4096        384         65        128        193        440        159        845
64   [65, 65, 65, 65] ... [65, 65, 65, 65]                                  |         64        384         65         66        193       2080        127        520
64   [0, 1, 2, 3] ... [60, 61, 62, 63]                                      |       4096        384         65        128        193       2080        159        455
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
128  []                                                                     |          0          0          0          0          1          0          0          0
128  [0]                                                                    |          1          0          2          2          4          1          1          4
128  [0, 1, 2, 3] ... [124, 125, 126, 127]                                  |      16384        896        129        256        385       8256        319       1032
128  [187, 128, 152, 129] ... [129, 129, 164, 129]                          |        512        896        129        252        385       2710        663       1161
128  [129, 129, 129, 129] ... [129, 129, 129, 129]                          |        128        896        129        130        385       8256        255       1161
128  [0, 1, 2, 3] ... [124, 125, 126, 127]                                  |      16384        896        129        256        385       8256        319       1032
128  [127, 126, 125, 124] ... [3, 2, 1, 0]                                  |      16384        896        129        256        385       8256        319       1032
128  [0, 1, 2, 3] ... [124, 125, 126, 127]                                  |      16384        896        129        256        385       2415        319       1032
128  [130, 1, 130, 3] ... [130, 125, 130, 127]                              |      16384        896        129        256        385       4224        319       1161
128  [130, 130, 130, 130] ... [250, 251, 252, 253]                          |        128        896        129        130        385       8256        415       1161
128  [130, 130, 130, 130] ... [130, 130, 130, 130]                          |        128        896        129        148        385       6730        320       1290
128  [1128, 616, 528, 1153] ... [466, 598, 921, 738]                        |      16384        896        129        256        385        888        319       1548
128  [2267, 129, 129, 129] ... [129, 1594, 129, 129]                        |        256        896        129        256        385       2575        700       1677
128  [129, 129, 129, 129] ... [3899, 3900, 3901, 3902]                      |        128        896        129        130        385       8256        415       1677
128  [5120, 5121, 5122, 5123] ... [129, 129, 129, 129]                      |       8192        896        129        256        385       3263        415       1806
128  [64, 6466, 6510, 6435] ... [6430, 6403, 6407, 6480]                    |      16384        896        129        256        385       1004        319       1806
128  [129, 129, 129, 129] ... [129, 129, 129, 129]                          |        128        896        129        130        385       8256        255       1161
128  [0, 1, 2, 3] ... [124, 125, 126, 127]                                  |      16384        896        129        256        385       8256        319       1032
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
256  []                                                                     |          0          0          0          0          1          0          0          0
256  [0]                                                                    |          1          0          2          2          4          1          1          4
256  [0, 1, 2, 3] ... [252, 253, 254, 255]                                  |      65536       2048        257        512        769      32896        639       2313
256  [257, 302, 257, 323] ... [357, 349, 361, 257]                          |        256       2048        257        504        769      10107       1783       2570
256  [257, 257, 257, 257] ... [257, 257, 257, 257]                          |        256       2048        257        258        769      32896        511       2570
256  [0, 1, 2, 3] ... [252, 253, 254, 255]                                  |      65536       2048        257        512        769      32896        639       2313
256  [255, 254, 253, 252] ... [3, 2, 1, 0]                                  |      65536       2048        257        512        769      32896        639       2313
256  [0, 1, 2, 3] ... [252, 253, 254, 255]                                  |      65536       2048        257        512        769      11874        639       2313
256  [258, 1, 258, 3] ... [258, 253, 258, 255]                              |      65536       2048        257        512        769      16640        639       2570
256  [258, 258, 258, 258] ... [506, 507, 508, 509]                          |        256       2048        257        258        769      32896        831       2570
256  [258, 258, 258, 258] ... [258, 258, 258, 514]                          |        256       2048        257        286        769      26925        643       2827
256  [1248, 1543, 1477, 1567] ... [1651, 867, 1946, 2347]                   |      65536       2048        257        512        769       2627        639       3341
256  [257, 4387, 3934, 5102] ... [257, 2676, 257, 4034]                     |        256       2048        257        510        769       9587       1424       3598
256  [257, 257, 257, 257] ... [7803, 7804, 7805, 7806]                      |        256       2048        257        258        769      32896        831       3598
256  [10240, 10241, 10242, 10243] ... [257, 257, 257, 257]                  |      32768       2048        257        512        769      12671        831       3855
256  [128, 12839, 12883, 12811] ... [12904, 13012, 12936, 12928]            |      65536       2048        257        512        769       2187        639       3855
256  [257, 257, 257, 257] ... [257, 257, 257, 257]                          |        256       2048        257        258        769      32896        511       2570
