n    array                                         | BruteForce  MergeSort  Insertion  Hashing  BoyerMoore  QuickSort  DivideConq
----------------------------------------------------------------------------------------------------------------------------------
10   []                                            |          0          0          0          0          1          0          0
10   [0]                                           |          1          0          2          2          5          1          1
10   [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]                |        100         34         11         20         36         55         27
10   [11, 12, 11, 11, 11, 11, 11, 11, 13, 10]      |         10         34         11         14         33         43         27
10   [11, 11, 11, 11, 11, 11, 11, 11, 11, 11]      |         10         34         11         12         32         55         19
10   [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]                |        100         34         11         20         36         55         27
10   [9, 8, 7, 6, 5, 4, 3, 2, 1, 0]                |        100         34         11         20         36         55         27
10   [0, 1, 2, 3, 4, 9, 6, 7, 8, 5]                |        100         34         11         20         36         35         27
10   [12, 1, 12, 3, 12, 5, 12, 7, 12, 9]           |        100         34         11         20         36         35         40
10   [12, 12, 12, 12, 12, 12, 14, 15, 16, 17]      |         10         34         11         12         32         55         32
10   [12, 12, 20, 12, 12, 12, 12, 12, 12, 12]      |         10         34         11         14         32         47         21
10   [69, 42, 39, 72, 90, 98, 75, 57, 50, 99]      |        100         34         11         20         36         37         27
10   [11, 11, 11, 11, 181, 161, 11, 11, 170, 126]  |         10         34         11         16         32         37         41
----------------------------------------------------------------------------------------------------------------------------------
100  []                                            |          0          0          0          0          1          0          0
100  [0]                                           |          1          0          2          2          5          1          1
100  [0, 1, 2] ... [97, 98, 99]                    |      10000        672        101        200        351       5050        291
100  [101, 101, 101] ... [129, 134, 139]           |        100        672        101        188        304       1916        668
100  [101, 101, 101] ... [101, 101, 101]           |        100        672        101        102        302       5050        199
100  [0, 1, 2] ... [97, 98, 99]                    |      10000        672        101        200        351       5050        291
100  [99, 98, 97] ... [2, 1, 0]                    |      10000        672        101        200        351       5050        291
100  [0, 1, 24] ... [97, 98, 99]                   |      10000        672        101        200        351       2646        291
100  [102, 1, 102] ... [97, 102, 99]               |      10000        672        101        200        351       2600        533
100  [102, 102, 102] ... [195, 196, 197]           |        100        672        101        102        302       5050        344
100  [102, 102, 208] ... [102, 203, 102]           |        100        672        101        112        302       4139        229
100  [469, 756, 365] ... [432, 600, 945]           |      10000        672        101        200        351        699        291
100  [101, 1038, 101] ... [101, 101, 101]          |        100        672        101        200        323       1687        488
----------------------------------------------------------------------------------------------------------------------------------
500  []                                            |          0          0          0          0          1          0          0
500  [0]                                           |          1          0          2          2          5          1          1
500  [0, 1, 2] ... [497, 498, 499]                 |     250000       4488        501       1000       1751     125250       1267
500  [501, 501, 501] ... [501, 584, 693]           |        500       4488        501        992       1529      34944       3233
500  [501, 501, 501] ... [501, 501, 501]           |        500       4488        501        502       1502     125250        999
500  [0, 1, 2] ... [497, 498, 499]                 |     250000       4488        501       1000       1751     125250       1267
500  [499, 498, 497] ... [2, 1, 0]                 |     250000       4488        501       1000       1751     125250       1267
500  [0, 179, 2] ... [497, 498, 499]               |     250000       4488        501       1000       1751      21288       1267
500  [502, 1, 502] ... [497, 502, 499]             |     250000       4488        501       1000       1751      63000       2681
500  [502, 502, 502] ... [995, 996, 997]           |        500       4488        501        502       1502     125250       1632
500  [502, 502, 502] ... [502, 502, 502]           |        500       4488        501        558       1502     101841       1214
500  [4438, 1953, 4250] ... [3759, 1819, 3580]     |     250000       4488        501       1000       1751       5127       1267
500  [8401, 501, 5771] ... [501, 501, 501]         |       1000       4488        501       1000       1537      34049       3357
----------------------------------------------------------------------------------------------------------------------------------
1000 []                                            |          0          0          0          0          1          0          0
1000 [0]                                           |          1          0          2          2          5          1          1
1000 [0, 1, 2] ... [997, 998, 999]                 |    1000000       9976       1001       2000       3501     500500       2535
1000 [1001, 1221, 1001] ... [1001, 1025, 1001]     |       1000       9976       1001       1996       3006     133634       7284
1000 [1001, 1001, 1001] ... [1001, 1001, 1001]     |       1000       9976       1001       1002       3002     500500       1999
1000 [0, 1, 2] ... [997, 998, 999]                 |    1000000       9976       1001       2000       3501     500500       2535
1000 [999, 998, 997] ... [2, 1, 0]                 |    1000000       9976       1001       2000       3501     500500       2535
1000 [0, 1, 2] ... [997, 998, 999]                 |    1000000       9976       1001       2000       3501      30413       2535
1000 [1002, 1, 1002] ... [997, 1002, 999]          |    1000000       9976       1001       2000       3501     251000       5363
1000 [1002, 1002, 1002] ... [1995, 1996, 1997]     |       1000       9976       1001       1002       3002     500500       3266
1000 [1002, 1002, 1002] ... [2036, 1002, 1002]     |       1000       9976       1001       1118       3002     406222       2408
1000 [9182, 8394, 4632] ... [4234, 9177, 4714]     |    1000000       9976       1001       2000       3501      11971       2535
1000 [15807, 1001, 16911] ... [1001, 1001, 1001]   |       2000       9976       1001       2000       3073     131891       6849
----------------------------------------------------------------------------------------------------------------------------------

Majority elements found by each algorithm:
n    array                                         | BruteForce  MergeSort  Insertion  Hashing  BoyerMoore  QuickSort  DivideConq
----------------------------------------------------------------------------------------------------------------------------------
10   []                                            |         -1         -1         -1         -1         -1         -1         -1
10   [0]                                           |          0          0          0          0          0          0          0
10   [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]                |         -1         -1         -1         -1         -1         -1         -1
10   [11, 12, 11, 11, 11, 11, 11, 11, 13, 10]      |         11         11         11         11         11         11         11
10   [11, 11, 11, 11, 11, 11, 11, 11, 11, 11]      |         11         11         11         11         11         11         11
10   [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]                |         -1         -1         -1         -1         -1         -1         -1
10   [9, 8, 7, 6, 5, 4, 3, 2, 1, 0]                |         -1         -1         -1         -1         -1         -1         -1
10   [0, 1, 2, 3, 4, 9, 6, 7, 8, 5]                |         -1         -1         -1         -1         -1         -1         -1
10   [12, 1, 12, 3, 12, 5, 12, 7, 12, 9]           |         -1         -1         -1         -1         -1         -1         -1
10   [12, 12, 12, 12, 12, 12, 14, 15, 16, 17]      |         12         12         12         12         12         12         12
10   [12, 12, 20, 12, 12, 12, 12, 12, 12, 12]      |         12         12         12         12         12         12         12
10   [69, 42, 39, 72, 90, 98, 75, 57, 50, 99]      |         -1         -1         -1         -1         -1         -1         -1
10   [11, 11, 11, 11, 181, 161, 11, 11, 170, 126]  |         11         11         11         11         11         11         11
----------------------------------------------------------------------------------------------------------------------------------
100  []                                            |         -1         -1         -1         -1         -1         -1         -1
100  [0]                                           |          0          0          0          0          0          0          0
100  [0, 1, 2] ... [97, 98, 99]                    |         -1         -1         -1         -1         -1         -1         -1
100  [101, 101, 101] ... [129, 134, 139]           |        101        101        101        101        101        101        101
100  [101, 101, 101] ... [101, 101, 101]           |        101        101        101        101        101        101        101
100  [0, 1, 2] ... [97, 98, 99]                    |         -1         -1         -1         -1         -1         -1         -1
100  [99, 98, 97] ... [2, 1, 0]                    |         -1         -1         -1         -1         -1         -1         -1
100  [0, 1, 24] ... [97, 98, 99]                   |         -1         -1         -1         -1         -1         -1         -1
100  [102, 1, 102] ... [97, 102, 99]               |         -1         -1         -1         -1         -1         -1         -1
100  [102, 102, 102] ... [195, 196, 197]           |        102        102        102        102        102        102        102
100  [102, 102, 208] ... [102, 203, 102]           |        102        102        102        102        102        102        102
100  [469, 756, 365] ... [432, 600, 945]           |         -1         -1         -1         -1         -1         -1         -1
100  [101, 1038, 101] ... [101, 101, 101]          |        101        101        101        101        101        101        101
----------------------------------------------------------------------------------------------------------------------------------
500  []                                            |         -1         -1         -1         -1         -1         -1         -1
500  [0]                                           |          0          0          0          0          0          0          0
500  [0, 1, 2] ... [497, 498, 499]                 |         -1         -1         -1         -1         -1         -1         -1
500  [501, 501, 501] ... [501, 584, 693]           |        501        501        501        501        501        501        501
500  [501, 501, 501] ... [501, 501, 501]           |        501        501        501        501        501        501        501
500  [0, 1, 2] ... [497, 498, 499]                 |         -1         -1         -1         -1         -1         -1         -1
500  [499, 498, 497] ... [2, 1, 0]                 |         -1         -1         -1         -1         -1         -1         -1
500  [0, 179, 2] ... [497, 498, 499]               |         -1         -1         -1         -1         -1         -1         -1
500  [502, 1, 502] ... [497, 502, 499]             |         -1         -1         -1         -1         -1         -1         -1
500  [502, 502, 502] ... [995, 996, 997]           |        502        502        502        502        502        502        502
500  [502, 502, 502] ... [502, 502, 502]           |        502        502        502        502        502        502        502
500  [4438, 1953, 4250] ... [3759, 1819, 3580]     |         -1         -1         -1         -1         -1         -1         -1
500  [8401, 501, 5771] ... [501, 501, 501]         |        501        501        501        501        501        501        501
----------------------------------------------------------------------------------------------------------------------------------
1000 []                                            |         -1         -1         -1         -1         -1         -1         -1
1000 [0]                                           |          0          0          0          0          0          0          0
1000 [0, 1, 2] ... [997, 998, 999]                 |         -1         -1         -1         -1         -1         -1         -1
1000 [1001, 1221, 1001] ... [1001, 1025, 1001]     |       1001       1001       1001       1001       1001       1001       1001
1000 [1001, 1001, 1001] ... [1001, 1001, 1001]     |       1001       1001       1001       1001       1001       1001       1001
1000 [0, 1, 2] ... [997, 998, 999]                 |         -1         -1         -1         -1         -1         -1         -1
1000 [999, 998, 997] ... [2, 1, 0]                 |         -1         -1         -1         -1         -1         -1         -1
1000 [0, 1, 2] ... [997, 998, 999]                 |         -1         -1         -1         -1         -1         -1         -1
1000 [1002, 1, 1002] ... [997, 1002, 999]          |         -1         -1         -1         -1         -1         -1         -1
1000 [1002, 1002, 1002] ... [1995, 1996, 1997]     |       1002       1002       1002       1002       1002       1002       1002
1000 [1002, 1002, 1002] ... [2036, 1002, 1002]     |       1002       1002       1002       1002       1002       1002       1002
1000 [9182, 8394, 4632] ... [4234, 9177, 4714]     |         -1         -1         -1         -1         -1         -1         -1
1000 [15807, 1001, 16911] ... [1001, 1001, 1001]   |       1001       1001       1001       1001       1001       1001       1001
----------------------------------------------------------------------------------------------------------------------------------

Majority elements found by each algorithm:
n    array                                         | BruteForce  MergeSort  Insertion  Hashing  BoyerMoore  QuickSort  DivideConq
----------------------------------------------------------------------------------------------------------------------------------
10   []                                            |         -1         -1         -1         -1         -1         -1         -1
10   [0]                                           |          0          0          0          0          0          0          0
10   [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]                |         -1         -1         -1         -1         -1         -1         -1
10   [11, 12, 11, 11, 11, 11, 11, 11, 13, 10]      |         11         11         11         11         11         11         11
10   [11, 11, 11, 11, 11, 11, 11, 11, 11, 11]      |         11         11         11         11         11         11         11
10   [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]                |         -1         -1         -1         -1         -1         -1         -1
